N;ALTITUD;CIUDAD;DEPARTAMENTO;DISTRITO;LATITUD;LONGITUD;N_ESTACION;N_ZONA;PROVINCIA;RANGO;ZONA_CLIMÁTICA
32;3382;Cajatambo;Lima;Cajatambo;-10° 28';-77° 03';633;4;Cajatambo;3000 - 4000;Mesoandino
33;3171;Lares;Cusco;Lares;-13° 06';-72° 02';684;4;Calca;3000 - 4000;Mesoandino
34;3;Callao;Callao;Callao;-12° 03';-77° 08';536;1;Callao;0 - 2000;Desértico Costero
35;23;Camaná;Arequipa;Camaná;-16° 36';-72° 42';832;1;Camana;0 - 2000;Desértico Costero
36;3980;Layo;Cusco;Layo;-14° 29';-71° 09';757;5;Canas;4000 - 4800;Alto Andino
37;3574;Sicuani;Cusco;Sicuani;-14° 65';-71° 24';759;4;Canchis;3000 - 4000;Mesoandino
38;3750;Candarave;Tacna;Candarave;-17° 16';-70° 16';876;6;Candarave;4800 - 5800;Nevado
39;3342;Paras;Ayacucho;Paras;-13° 33';-74° 37';664;4;Cangallo;3000 - 4000;Mesoandino
40;2832;Canta;Lima;Canta;-11° 28';-76° 37';547;3;Canta;2000 - 3000;Interandino Bajo
41;27;San Vicente de Cañete;Lima;San Vicente de Cañete;-13° 05';-76° 23';616;1;Cañete;0 - 2000;Desértico Costero
42;4321;Macusani;Puno;Macusani;-14° 04';-70° 25';783;5;Carabaya (5 Alto Andino);4000 - 4800;Alto Andino
43;2774;Ollachea;Puno;Ollachea;-13° 47';-70° 28';883;7;Carabaya (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
44;1779;Caravelí;Arequipa;Caravelí;-15° 46';-73° 22';746;3;Caravelí;2000 - 3000;Interandino Bajo
45;3014;Shilla;Ancash;Shilla;-09° 13';-77° 37';404;4;Carhuaz;3000 - 4000;Mesoandino
46;3079;San Luis;Ancash;San Luis;-09° 06';-77° 19';404;4;Carlos Fermín Fitzcarrald (4 Mesoandino);3000 - 4000;Mesoandino
47;3164;Yauya;Ancash;Yauya;-08° 59';-77° 17';444;6;Carlos Fermín Fitzcarrald (6 Nevado);4800 - 5800;Nevado
48;35;Huanchuy;Ancash;Buena Vista Alta;-09° 28';-78° 19';435;1;Casma;0 - 2000;Desértico Costero
49;2950;Pampacolca;Arequipa;Pampacolca;-15° 43';-72° 34';751;3;Castilla;2000 - 3000;Interandino Bajo
50;3958;Castrovirreyna;Huancavelica;Castrovirreyna;-13° 16';-75° 19';648;4;Castrovirreyna;3000 - 4000;Mesoandino
51;3633;Chivay;Arequipa;Chivay;-15° 38';-71° 36';758;5;Caylloma;4000 - 4800;Alto Andino
52;3025;Chalan;Cajamarca;Miguel Iglesias;-06° 38';-78° 14';359;4;Celendín (4 Mesoandino);3000 - 4000;Mesoandino
53;2450;Chachapoyas;Amazonas;Chachapoyas;-06° 13';-77° 52';375;7;Chachapoyas ;2000 - 3000;Ceja de Montaña
54;833;La Merced;Junín;Chanchamayo;-11° 03';-75° 18';240;7;Chanchamayo (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
55;814;San Ramón;Junín;San Ramón;-11° 08';-75° 20';557;8;Chanchamayo (8 Subtropical Húmedo);400 - 2000;Subtropical Húmedo
56;135;Chepén;La Libertad;Chepén;-07° 13';-79° 25';230;2;Chepén;400 - 2000;Desértico 
57;21;Chiclayo;Lambayeque;Chiclayo;-06° 53';-79° 50';332;1;Chiclayo;0 - 2000;Desértico Costero
58;94;Chincha Alta;Ica;Chincha Alta;-13° 25';-76° 08';791;1;Chincha;0 - 2000;Desértico Costero
59;2795;Chincheros;Apurimac;Chincheros;-13° 31';-73° 43';677;7;Chincheros;2000 - 3000;Ceja de Montaña
60;3012;Licupis;Cajamarca;San Juan de Licupis;-06° 25';-79° 14';359;4;Chota (4 Mesoandino);3000 - 4000;Mesoandino
61;2080;Llama;Cajamarca;Llama;-06° 31';-79° 07';341;7;Chota (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
62;3940;Huacullani;Puno;Huacullani;-16° 54';-69° 22';881;5;Chucuito (5 Alto Andino);4000 - 4800;Alto Andino
63;3860;Juli;Puno;Juli;-16° 34';-69° 2';883;7;Chucuito (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
64;3678;Santo Tomás;Cusco;Santo Tomás;-14° 27';-72° 05';757;5;Chumbivilcas;4000 - 4800;Alto Andino
65;3262;Chupaca;Junín;Chupaca;-12° 04';-75° 17';635;4;Chupaca;3000 - 4000;Mesoandino
66;3643;Churcampa;Huancavelica;Churcampa;-12° 44';-74° 26';658;4;Churcampa;3000 - 4000;Mesoandino
67;3286;Concepción;Junín;Concepción;-11° 55';-75° 16';635;4;Concepción;3000 - 4000;Mesoandino
68;2879;Chuquibamba;Arequipa;Chuquibamba;-15° 50';-72° 39';750;3;Condesuyos;2000 - 3000;Interandino Bajo
69;3207;Salamanca;Arequipa;Salamanca;-15° 30';-72° 50';800;4;Condesuyos;3000 - 4000;Mesoandino
70;1804;Santa María Nieva;Amazonas;Nieva;-06° 10';-77° 51';253;9;Condorcanqui;400 - 1000;Tropical Húmedo
71;205;Cañaveral;Tumbes;Casitas;-03° 58';-80° 26';139;3;Contralmirante Villar;2000 - 3000;Interandino Bajo
72;2647;Contumazá;Cajamarca;Contumazá;-07° 21';-78° 48';207;3;Contumazá (3 Interandino Bajo);2000 - 3000;Interandino Bajo
73;195;Pucallpa;Ucayali;Calleria;-08° 22';74° 31';459;9;Coronel Portillo;400 - 1000;Tropical Húmedo
74;3241;Cusca;Ancash;Cusca;-08° 30';-77° 51';404;4;Corongo (4 Mesoandino);3000 - 4000;Mesoandino
75;2728;Yupan;Ancash;Yupan;-08° 36';-77° 57';538;7;Corongo (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
76;3766;Mara;Apurimac;Mara;-14° 05';-72° 06';669;4;Cotabambas (4 Mesoandino);3000 - 4000;Mesoandino
77;3219;Cusco;Cusco;Cusco;-13° 56';-71° 87';607;4;Cusco;3000 - 4000;Mesoandino
78;2600;Cutervo;Cajamarca;Cutervo;-06° 24';-78° 82';352;7;Cutervo;2000 - 3000;Ceja de Montaña
79;4183;Goyllarisquizga;Pasco;Goyllarisquizga;-10° 28';-76° 24';749;6;Daniel Alcides Carrión;4800 - 5800;Nevado
80;165;Alianza Cristiana;Loreto;Andoas;-03° 28';-76° 26';281;9;Datem del Marañón;400 - 1000;Tropical Húmedo
81;3530;Marías;Huánuco;Marías;-09° 36';-76° 42';554;5;Dos de Mayo;4000 - 4800;Alto Andino
82;4100;Capazo;Puno;Capazo;-17° 10';-69° 44';878;5;El Collao (5 Alto Andino);4000 - 4800;Alto Andino
83;3850;Ilave;Puno;Ilave;-16° 05';-69° 39';879;7;El Collao (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
84;417;San Martín;San Martín;San Martín;-06° 30';-76° 44';383;9;El Dorado;400 - 1000;Tropical Húmedo
